目录编号,视频ID,视频标题,视频URL,发布时间,发布时间_格式化,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,https://www.douyin.com/video/7453401499742342454,1735380309,2024-12-28 18:05:09,58,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,6877,216,147,518799,2408
003,7325747193879497995,人才是希望田野的“绘就者”，当前我国农村实用人才超2300万！#绘说现代化,https://www.douyin.com/video/7325747193879497995,1705658444,2024-01-19 18:00:44,68,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,6816,458,255,387697,132
013,7352000334148963594,清明小长假你有出行计划吗？一起去看祖国大好河山，感受中国式现代化的磅礴力量！ #绘说现代化,https://www.douyin.com/video/7352000334148963594,1711770978,2024-03-30 11:56:18,87,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,6767,181,138,393681,368
007,7336045049425300775,造船这件事中国有多牛？三大指标连续14年居世界第一！ #绘说现代化,https://www.douyin.com/video/7336045049425300775,1708056108,2024-02-16 12:01:48,75,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,6381,295,327,301512,148
009,7341195278243925286,“进度条”不断刷新！给全世界一点中国高铁的震撼！#绘说现代化,https://www.douyin.com/video/7341195278243925286,1709255244,2024-03-01 09:07:24,78,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,6239,353,299,378204,159
046,7437907374364495119,我国制造业规模已连续14年位居世界第一！60秒看中国制造步履铿锵🔥#绘说现代化,https://www.douyin.com/video/7437907374364495119,1731772786,2024-11-16 23:59:46,59,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,6154,309,492,370747,192
006,7333060768440651035,给全世界一点中国新能源车的震撼！！#绘说现代化,https://www.douyin.com/video/7333060768440651035,1707361366,2024-02-08 11:02:46,79,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,5942,274,432,353623,265
057,7464755126457175307,从“中国年”到“世界节”！用剪纸风的春节，照见中国式现代化！#绘说现代化 #在抖音过好年 #非遗中国年,https://www.douyin.com/video/7464755126457175307,1738023806,2025-01-28 08:23:26,56,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,5934,349,352,313058,144
054,7458562797283151123,遇“冷”豫“热”！河南的冬天到底有谁在啊❄️ #绘说现代化 ,https://www.douyin.com/video/7458562797283151123,1736582092,2025-01-11 15:54:52,43,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,5784,180,313,305978,149
061,7477032888144235810,两会时间即将开启，这份惠农“大礼包”请查收！ #绘说现代化,https://www.douyin.com/video/7477032888144235810,1740882617,2025-03-02 10:30:17,71,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,5714,614,693,315106,869
